Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
tarkimaso	turkey [flesh or meat of this bird]	Trutenfleisch <n>, Truthahnfleisch <n>, Pute <f>, Putenfleisch <n>, Truthahn <m>	kalkoen <m>				dindon <m>, viande de dinde <f>, viande de dindon <f>, dinde <f>								hindi eti	
taroto																
taru																
taruta																
tarutagi																
tas	to [used to indicate the indirect object|target or recipient of an action]	dem, der, den	aan			ad	à					لِ, لِ		...に		
tasaduf																
taseri																
taserido																
taseriyen																
taslum	receive [to take what is offered, accept from another], get [to receive]	; erhalten, empfangen, bekommen, kriegen, bekommen, kriegen	; krijgen, verkrijgen, ontvangen, krijgen	; underfōn	; δέχομαι	; accipiō, recipiō, recipio	; recevoir	; ricevere	; получа́ть, получи́ть	; מקבל זײַן, קריגן	; קיבל	; اِسْتَقْبَلَ, اِسْتَلَمَ, اِسْتَقْبَلَ	; 接到, 收到	; 受け取る, 得る, 貰う, 受ける, 受け取る, 貰う, 受ける, 頂く	; almak	; алырга
taslumyen																
Tasman																
tasswal																
tasya																
tatika																
tatmini																
tatminimarka																
tatminiyen																
tatua																
tavusi	peacock [pheasant of one of the genera Pavo and Afropavo], peahen [female of peacock]	Pfauhenne <f>, Pfau <m>/<f>, Pfauhahn <m>	pauw <m>	pāwa <m>	ταώς <m>, ταών <m>	pāvō <m>, pāva <f>	paonne <f>, paon <m>, paonne <f>	pavone <m>	па́ва <f>, па́ва <f>, павли́н <m>	פּאַווע <f>	טווס, טַוָּס <m>	طَاوُوس <m>	母孔雀, 孔雀	ピーコック, 孔雀, 雌孔雀	tavus, tavus kuşu	тавис
tawa																
tawakeke																
tawni																
Tay	Thailand [country in Southeast Asia]	Thailand <n>	Thailand <n>			Thailandia <f>	Thaïlande <f>	Tailandia <f>, Thailandia <f>	Таила́нд <m>, Сиа́м <m>	טײַלאַנד <n>	תאילנד/ תַּיְלַנְד <f>	تَايْلَنْد <f>, تَايْلَانْد <f>	泰國 /泰国	泰国, タイ, タイ国	Tayland	Таиланд
taydu																
tayga																
tayla																
Tayli	Thai [of or pertaining to Thailand]	thailändisch	Thailands, Thais			thailandicus	thaï, thaïlandais	tailandese	таила́ндский, та́йский			تَايْلَنْدِيّ, تَايْلَانْدِيّ	泰, 泰國的 /泰国的	泰, タイの, タイ	Tay	
taymi																
taypu	type [to enter characters into a computer using keyboard]	Maschinenschreiben <n>, Tippen <n>; tippen	; inkloppen, typen, intikken				dactylographie <f>; dactylographier, taper	digitazione <f>; digitare	печа́тание <n>, дактилогра́фия <f>, маши́нопись <f>, печа́тание на маши́нке <n>; напеча́тать, печа́тать		; הִקְלִיד	; طَبَعَ	打字; 打字	タイプ, タイピング; 打つ, タイプする, 打鍵する	daktilo ile yazma; tuşlamak	
tayputora	typewriter [machine used to print text by pressing keys]	Schreibmaschine <f>	schrijfmachine <f>, typemachine <f>, typmachine <f>				machine à écrire <f>	macchina da scrivere <f>	печа́тная маши́нка <f>, пи́шущая маши́нка <f>	שרײַבמאַשין <f>	מְכוֹנַת כְּתִיבָה <f>	آلَة كَاتِبَة <f>, مِكْتَاب <m>, آلَة طَابِعَة <f>	打字機 /打字机	タイプライター, 印字機	daktilo, yazı makinesi, daktilo makinesi	язу машинкасы
Taysa	Thai [language]	Thailändisch <n>	Thai <n>			lingua thai <f>	thaï <m>	thailandese <m>, tailandese <m>	та́йский язы́к <m>, та́йский <m>		תאילנדית \ תַּיְלַנְדִּית <f>	تَايْلَانْدِيّ	泰語 /泰语	タイ語	Taylandca, Tayca	
tayti																
Taywan	Taiwan [East Asian country|East Asian island]	Formosa <n>, Taiwan <n>	Formosa <n>, Taiwan <n>		Θαϊουάν, Ταϊουανία <f>	Formosa <f>, Taivania, Formosa <f>, Taivania <f>, Res Publica Sinarum <f>	Formose <f>, Taïwan <m>	Taiwan <m>	Тайва́нь <m>, Формо́за <f>, Тайва́нь <m>	טײַוואַן	טַיְוָן <f>, טייוואן	تايوان <f>, تَايْوَان <f>, تَيْوَان <f>		高砂, フォルモサ, 台湾, 高砂, 台湾	Tayvan, Tayvan, Formoza	Тайвань
Tayyen	Thai [person from Thailand or of Thai origin]	Thailänderin <f>, Thailänder <m>, Thai <m>/<f>	Thailander <m>, Thailandse <f>				Thaïlandaise <f>, Thaïlandais <m>	tailandese, tailandesi	та́ец <m>, та́йка <f>, таила́ндец <m>, таила́ндка <f>		תאילנדית <f>, תאילנדי <m>	تَايْلَانْدِيّ	泰族, chaa nese (vaiśya), 泰國人 /泰国人	タイ人	Taylandlı, Tay	
taze																
te	him [dative / indirect object|objective after preposition|accusative / direct object], she [person], they [third-person singular, of unknown, irrelevant, or non-binary gender], them [third-person singular pronoun of indeterminate gender]	ihm, sier, ihn, sie	die, hen, zij, hem	him, hēo, hine	ᾧ, ἐκείνῳ, τούτῳ, τῷ, τῷδε, αὐτῷ, οἷ, ἥ, ἥδε, ἐκείνη, ἡ, τούτου, ἐκεῖνον, τοῦδε, ἕ, ἐκείνῳ, ᾧ, τούτῳ, τοῦτον, τῷ, οὗ, τόν, τῷδε, ἐκείνου, ὅν, τοῦ, οἷ, τόνδε, ἐκεῖνον, ἕ, τοῦτον, τόν, αὐτόν, ὅν, τόνδε	istum, illum, eum, hunc, istō, illum, hōc, hunc, huic, illī, istī, istum, illō, illī, istī, eī, huic, illa, ea, haec	elle, lui, iel n ille n al n ul n ol, le	gli, lui, lo, ella, lei	его́, ему́, они́, она́	זי	אותו, הִיא	إِيَّاهُ, ـهُ, ـهِ, ـهُ, ـهِ, هِيَ	伊, 他, 她	あの人, 氏, 彼女, あの人, 奴, あの方	ona, o, onu	ул
teatro																
teatroxey	play [theatrical performance]	Bühnenwerk <n>, Theaterstück <n>, Bühnenstück <n>	stuk <n>, schouwspel <n>, optreden <n>, toneelstuk <n>		δρᾶμα <n>	lūdus <m>, fabula <f>	pièce de théâtre <f>, pièce <f>	dramma <m>	пье́са <f>, представле́ние <n>, спекта́кль <m>	פּיעסע <f>	מַחֲזֶה <m>, מִשְׂחָק <m>	مَسْرَح <m>, مَسْرَحِيَّة <f>		戯曲, 演劇	piyes, oyun, tiyatro oyunu	
tehdidu	threaten [to make a threat against someone; to use threats]	Drohung <f>; bedrohen, drohen	bedreiging; bedreigen, dreigen	þrēa <m>; þrēaġan	ἀπειλή <f>; ἀπειλέω	minatio <f>, minācia <f>; minitor, minor	menace <f>; menacer	minaccia <f>; impaurire, minacciare	угро́за <f>; угрожа́ть, грози́ть		איום <m>; איים	تَهْدِيد <m>; هَدَّدَ	威脅 /威胁; 恐嚇 /恐吓, 威脅 /威胁	脅迫, 脅かし; 脅す, 脅かす, 脅迫する	tehdit; gözünü korkutmak	
tejam	sharp [able to cut easily]	scharf	scherp	scearp	ὀξύς	acutus, acer	coupant, affilé, aigu, acéré, affuté, tranchant, aiguisé, effilé, pointu	affilato, aguzzo	о́стрый	שאַרף	שָׁנוּן, חַד	حَادّ	銳利 /锐利	鋭い, 犀利な, 鋭利な	keskin	
teknesyum	technetium [chemical element]	Technetium <n>	technetium <n>				technétium <m>	tecnezio <m>, tecneto <m>	техне́ций <m>		טכנתיום	تِكْنِيتِيُوم <m>	鎝 /𨱏, 锝	テクネチウム	teknetyum	
teknika																
teknikali																
tekno																
teknoli																
televisi	televise [broadcast, or be broadcast, by television]	Fernsehen <n>, Television <f>; durch Fernsehsender übertragen	televisie <f>, kijkbuis, beeldomroep <m>			tēlevīsiō <f>	télé <f>, télévision <f>; téléviser	televisione <f>, tivù <f>	ТВ <n>, телеви́дение <n>; пока́зывать по телеви́дению, передава́ть по телеви́дению, трансли́ровать	טעלעוויזיע <f>	טֶלֶוִיזְיָה <f>, טלוויזיה	تَلْفَزَة <f>, تِلِفِزْيُون <m>, تِلْفَاز <m>; تَلْفَزَ	電視 /电视; 轉播 /转播, 廣播 /广播, 電視播放 /电视播放	テレビジョン, 電視, テレビ; 放映する	televizyon	телевидение
teli		abgelegen, fern, fernbetrieb, entfernt, abgelegen, fern, entfernt, abstehend, distanziert, weit entfernt, weit weg, fern	van op afstand, afgelegen, veraf, verwijderd, ver, in de verte, ver, verafgelegen		μακρός	remōtus, longinquus, distans, remōtus, procul, remōtus, reductus	loin, distant, lointain, reculé, éloigné, lointain, distant, éloigné	remoto, remoto, distante, lontano	удалённый, да́льний, отдалённый, далёкий, да́льний, далёкий, да́льний, отдалённый, далёкий		מרוחק, רחוק	بَعِيد	遙遠 /遥远, 遠 /远, 遠離的 /远离的, 遠的 /远的, 更遠的 /更远的	遠い, 辺鄙な, 遥かな, 遠隔な, 遠い, 辺鄙な, 遠隔な, 遠い, 遥かな	uzak, ırak, uzaktan kontrol, uzak, ırak (obsolescing), uzak	
teli fe																
teli lefe																
teli lefe na																
teli leki
teli of																
teli xafe																
teli xafe na																
teli xaki
teli-																
teliergo																
telifikir		Telepathie <f>, Gedankenübertragung <f>, Gedankenlesen <n>	telepathie <f>			telepathia <f>	télépathie <f>	telepatia <f>	телепа́тия <f>		טלפתיה	تَخَاطُر <m>	心靈感應 /心灵感应	テレパシー	telepati	
telifon	phone [to call (someone) on the telephone], call [to contact by telephone]	Telefon <n>, Fernsprecher <m>, Telephon <n>; telefonieren, anbimmeln, antelefonieren, anklingeln, anbellen, anrufen, durchrufen, aufringen, anläuten, telefonieren, anrufen	beltoestel <n>, telefoon <m>; opbellen, telefoneren, opbellen			tēlephōnum <n>, tēlephōnium <n>	téléphone <m>; téléphoner, appeler	telefono <m>; telefonare, chiamare	телефо́н <m>; телефони́ровать, звони́ть, позвони́ть, звони́ть, позвони́ть	טעלעפֿאָן <n>; טעלעפֿאָנירן	טֶלֶפוֹן <m>; צילצל \ צִלְצֵל, הִתְקַשֵּׁר, צִלְצֵל	هَاتِف <m>, تِلِفُون <m>; تَلْفَنَ, اِتَّصَلَ بِ, تَلْفَنَ	電話 /电话; 打電話 /打电话	電話; 電話する, 電話をかける	telefon, alısün; aramak, aramak, telefon etmek, telefonlamak	телефон
teligrafi	telegram [message sent by telegraph]	Telegramm <n>	telegram <n>				télégramme <m>, dépêche <f>	telegramma <m>	депе́ша <f>, телегра́мма <f>	טעלעגראַם <m>, טעלעגראַמע <f>	מִברָק <m>	تَلِغْرَاف <m>, بَرْقِيَّة <f>, تِلِغْرَاف <m>	電報 /电报	電報, 針金便り	telgraf	
teliharka		Telekinese <f>					télékinésie <f>	telecinesi <f>	телекине́з <m>				念力, 心靈遙感 /心灵遥感, 心靈致動 /心灵致动	念力, テレキネシス		
telije	distance [(countable, uncountable) amount of space between points]	Distanz <f>, Abstand <m>, Entfernung <f>	eind <n>, afstand <m>	feornes <f>	ἀπόστασις <f>	distantia	distance <f>	distanza <f>	отдалённость <f>, расстоя́ние <n>, диста́нция <f>		מֶרְחָק <m>	بُعْد <m>, مَسَافَة <f>	距, 距離 /距离	距離	ara, mesafe	ара
telileli																
teliokotul																
telixali																
teliya																
Telugu																
Telugusa	Telugu [Dravidian language of India]	Telugisch <n>, Telugu <n>	Telugu <n>				télougou	lingua telugu	те́лугу <m>			لغَة تيلوغو <f>, تِيلُوغُو <m>, تِيلُجُو <m>	泰盧固語 /泰卢固语	テルグ語	Telugu dili, Teluguca	
Teluguyen	Telugu [member of the people who speak it]		Telugu <m>				Télougou <m>, Télougoue <f>		те́лугу <m>					テルグ語話者		
teluryum	tellurium [chemical element]	Tellur <n>	telluur <n>, tellurium <n>			tellurium	tellure <m>	tellurio <m>	теллу́р <m>		טלוריום	تِيلُورِيُوم <m>	碲	テルル	tellür	
tem	about [concerning], on [dealing with the subject of], regarding [concerning]	mit Bezug auf, bezüglich, über	over, in verband met, over	be	περί	de, supra, super, de	de, au sujet de, à propos de, sur, au sujet de, à propos de, sur, quant à, au sujet de, à propos de, concernant	in quanto a, di, su, riguardo, su	про, о, об, насчёт, о, относи́тельно, каса́тельно, насчёт	וועגן, װעגן	על, אודות, על אודות, בנושא, באשר ל־, בנושא	عَن, فِي صَدَد, بِالنِّسْبَة لِـ, بِالنِّسْبَة إِلَى, فِي	關於 /关于, 對於 /对于, 關於 /关于	...に関して, ...に付いて, ...に対して, …について（の）	ilişkin	
tem-																
tema		Thema <n>	thema <n>, onderwerp <n>, thema <n>	andtimber <n>	θέμα <n>, θέμα <n>, τόπος <m>	thema <n>	thème <m>, thème <m>, sujet <m>	categoria <f>, tema <m>, soggetto <m>, argomento <m>	то́пик <m>, предме́т <m>, те́ма <f>, те́ма <f>	טעמע <f>	נוֹשֵׂא <m>	مَوَاضِيع <m>, مَوْضُوع <m>, مَوْضُوع <m>	話題 /话题, 主題 /主题	主題, 話題, テーマ, トピック, 主題, 話題, テーマ	tema, mevzu, ana konu, tema	
tembal																
temfikir																
temki																
templato																
temwawa																
temya																
tenda	tent [portable lodge]	Zelt <n>	tent <m>	teld <n>	σκανά <f>, σκηνή <f>	tentōrium <n>, tabernāculum <n>	tente <f>, guitoune	tenda <f>	шатёр <m>, пала́тка <f>	בײַדל <n>, געצעלט <n>, פּאַלאַטקע <f>	אוהל, אֹהֶל <m>	خَيْمَة <f>	帳篷 /帐篷	テント, 天幕, 幕屋	otağ, çerge, çadır	чатыр
tendon	tendon [band of fibrous tissue]	Sehne <f>	pees	sinu <f>	τένων <m>	tenōn <m>	tendon <m>	tendine <m>	сухожи́лие <n>, жи́ла <f>		גִיד <m>	وَتَر <m>	腱, 肌腱	筋, 腱	tendon, kiriş	
tenesin	tennessine [chemical element with atomic number 117]	Tenness <n>	tennessine				tennesse <m>	tennessinio <m>, tennesso <m>	теннессин <m>		טנסין	تِينِيسِين	鿬	テネシン		
tengu																
tenis																
tenjire																
tenmun	celestial body [natural object beyond Earth's atmosphere]	Himmelskörper <m>				corpus caeleste	corps céleste <m>, astre <m>	corpo celeste <m>	небе́сное те́ло <n>				星體 /星体, 星球, 天體 /天体	天体	gök cismi	
tenmunlogi	astronomy [study of the physical universe beyond the Earth's atmosphere]	Himmelskunde <f>, Astronomie <f>, Sternkunde <f>	astronomie <f>, sterrenkunde <f>	tungolcræft <m>	ἀστρονομία <f>	astrologia <f>, astronomia <f>	astronomie <f>	astronomia <f>	астроно́мия <f>	אַסטראָנאָמיע <f>	אַסְטְרוֹנוֹמְיָה <f>	فَلَك <m>, عِلْم الْفَلَك <m>	天文學 /天文学	天文学	gök bilimi, astronomi	астрономия
tenor																
tensor	tensor [matrix of matrices]	Tensor <m>						tensore <m>	те́нзор <m>			مُوتَر <m>			tensör	
tentakul																
Tenwo	Uranus [planet]	Uranus <m>	Uranus <n>			Uranus <m>	Uranus <m>	Urano <m>	Ура́н <m>	אוראַנוס <m>	אוֹרוֹן <m>, אוּרָנוּס <m>	أُورَانُوس	天王星	ウラヌス, 天王星	Uranüs, Altayhan	Uran
teo	god [deity], goddess [female deity], deity [a god or goddess], God [single deity of monotheism]	Gott <m>, Gottheit <f>, Göttin <f>, Götter, Gott <m>, Gottheit <f>, weiblicher Gott <m>, Göttin <f>, weibliche Gottheit <f>, Gott <m>	godheid <f>, god <m>, godheid <f>, God <m>, godin <f>	gyden <f>, God <m>, god <n>	θεή <f>, θεά <f>, θεύς <m>, θεός <m>/<f>, σιός <m>, θεά <f>, θιός <m>, Θεός <m>	dea <f>, dīva <f>, divinitas <f>, deus <m>, deitas <f>, Deus <m>, dea <f>, deus <m>	divinité <f>, dieu <m>, Dieu <m>, divinité <f>, déité <f>, déesse <f>	dea <f>, dio <m>, divinità <f>, deità, Dio <m>	боги́ня <f>, Бог <m>, Госпо́дь <m>, Алла́х <m>, божество́ <n>, бог <m>	כּבֿיכול, השם <m>, גאָט <m>, גאָט <m>	אֵל <m>, אלוהים \ אֱלֹהִים <m>, אלוהים, אֱלֹהִים, אֵלָה <f>, אֵל <m>, אלוהים \ אֱלֹהִים <m>/<f>	رَبّ <m>, إِلَٰه <m>, إِلَاهَة <f>, إِلٰهَة, مَعْبُود <m>, إِلٰه <m>, ربنا <m>, الله <m>, الله, إِلَٰه, ربي <m>, الرَّبّ <m>, الله <m>	神, 神靈 /神灵, 神明, 神, 女神	神, 神様, 女神, 神仏, 神, デウス, 神, 神様	Yaradan, Tanrı, Allah, Çalap, Hak, Huda, oğan, ilah, tanrı, tanrıça <f>, ilahe <f>	Алла, Ходай, Аллах, Тәңре, тәңре, алла, ходай, алиһә
