Word		DirectURL	SourcePage	
dragonfruta	dragon fruit, pitaya			
drama	drama			
dramali	drama (_of or relating to_), dramatic			
dramapul	dramatic			
drevo	tree	https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Ash_Tree_-_geograph.org.uk_-_590710.jpg/450px-Ash_Tree_-_geograph.org.uk_-_590710.jpg	https://en.wikipedia.org/wiki/File:Ash_Tree_-_geograph.org.uk_-_590710.jpg	
drevogeo	forest	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Aerial_view_of_the_Amazon_Rainforest.jpg/960px-Aerial_view_of_the_Amazon_Rainforest.jpg	https://en.wikipedia.org/wiki/File:Aerial_view_of_the_Amazon_Rainforest.jpg	
drevolari	forest, woods			
drilu	drill; drill, bore	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Drill_scheme.svg/500px-Drill_scheme.svg.png	https://en.wikipedia.org/wiki/File:Drill_scheme.svg	
driludo	drilled, bored			
dron	drone			
Druki	Bhutan	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bhutan_%28orthographic_projection%29.svg/553px-Bhutan_%28orthographic_projection%29.svg.png	https://en.wikipedia.org/wiki/File:Bhutan_(orthographic_projection).svg	
Drukili	Bhutanese			
Drukisa	Dzongkha, Bhutanese (language)			
Drukiyen	Bhutanese (person)			
drumu	drum (_music_)	https://upload.wikimedia.org/wikipedia/commons/2/2a/DrumMozartRegiment.jpg	https://en.wikipedia.org/wiki/File:DrumMozartRegiment.jpg	
drumuyen	drummer	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Two_hand_drummers%2C_both_wearing_sunglasses%2C_about_1966.jpg/500px-Two_hand_drummers%2C_both_wearing_sunglasses%2C_about_1966.jpg	https://en.wikipedia.org/wiki/File:Two_hand_drummers,_both_wearing_sunglasses,_about_1966.jpg	
du-	_continuous (aspect), habitual (aspect), gerund_			
dua	two			
dua giga	two billion			
dua kilo	two thousand			
dua mega	two million			
dua tera	two trillion			
dua-	bi-			
duabasali	bilingual; bilingually	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Constitutional_Court_South_Africa.jpg/800px-Constitutional_Court_South_Africa.jpg	https://en.wikipedia.org/wiki/File:Constitutional_Court_South_Africa.jpg	
duabasayen	bilingual speaker			
duabioyen	amphibian			
duacalun	bicycle	https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Left_side_of_Flying_Pigeon.jpg/960px-Left_side_of_Flying_Pigeon.jpg	https://en.wikipedia.org/wiki/File:Left_side_of_Flying_Pigeon.jpg	
duacen	two hundred			
duades	twenty			
duadesgon	icosagon, 20-gon			
duadesple	vigintuple, twentyfold			
duadesyum	twentieth			
duadimensili	two-dimensional			
duaglif	digraph			
duagon	digon	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Digon.svg/420px-Digon.svg.png	https://en.wikipedia.org/wiki/File:Digon.svg	
duajensifil	bisexual; bisexually	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Bisexual_Pride_Flag.svg/800px-Bisexual_Pride_Flag.svg.png	https://en.wikipedia.org/wiki/File:Bisexual_Pride_Flag.svg	
duajensifilya	bisexuality	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Bisexual_Pride_Flag.svg/800px-Bisexual_Pride_Flag.svg.png	https://en.wikipedia.org/wiki/File:Bisexual_Pride_Flag.svg	
dualabyali	bilabial			
dualim	(act of) teaching			
duamwin	diphthong			
duapedali	bipedal; bipedally			
duaple	double, twofold			
duaple baso	double bass, contrabass			
duaple basun	contrabassoon, double bassoon			
duatyan	colon (_punctuation_)			
duaxey	duo, couple, pair			
duaya	duality			
duayen	duo, couple, pair			
duayum	second; secondly			
dubnyum	dubnium, Db			
dubomba	bombing			
dubroxa	brushing			
ducakix	hammering			
ducane	combing			
ducori	stealing, thievery			
dudan	smoke, fume; smoke			
dudando	smoked			
dudantubo	chimney, smokestack, stovepipe			
dudanyen	smoker			
dudao	traveling (_act of_)			
dudaokaxa	suitcase, luggage			
dudoxo	reading (_act of_)			
dudrilu	drilling (_act of_)			
dugaga	stuttering (_act of_)			
dukan	store, shop	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pfficeworks_inside.jpg/960px-Pfficeworks_inside.jpg	https://commons.wikimedia.org/wiki/File:Pfficeworks_inside.jpg	
duke	duke, duchess			
dumarali	occasional; at times, sometimes, occasionally, on occasion, from time to time, once in a while			
dumbu	posterior, buttocks, butt, hindquarters, heinie, bottom, pygo-	https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Human_buttocks.jpg/500px-Human_buttocks.jpg	https://en.wikipedia.org/wiki/File:Human_buttocks.jpg	
dumbumon	butt cheek			
duna	dune	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Australian_outback_-_Australische_Outback.jpg/960px-Australian_outback_-_Australische_Outback.jpg	https://en.wikipedia.org/wiki/File:Australian_outback_-_Australische_Outback.jpg	
dunerleli	lately			
Dunya	Earth	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/The_Earth_seen_from_Apollo_17.jpg/960px-The_Earth_seen_from_Apollo_17.jpg	https://en.wikipedia.org/wiki/File:The_Earth_seen_from_Apollo_17.jpg	
Dunyayen	Earthling, world citizen, terrestrial being			
duofcori	robbing			
dupa	incense	https://upload.wikimedia.org/wikipedia/commons/c/cb/Incenselonghua.jpg	https://en.wikipedia.org/wiki/File:Incenselonghua.jpg	
duparacutu	parachuting			
dupentu	painting (_act of_)			
dupul	_continuative aspect_			
dur	during, for			
dur na	while (_+ -ing_)			
dur total	throughout			
dur-	during			
dure	duration, enduring, continuation; last, endure, continue, go on, keep going			
dureabil	durable; durably			
duregi	continuation; continue (with), go on (with), keep going (with), carry on (with), keep (on)			
durepul	continuous; continuously			
durki	while, as			
durmomentoli	momentary			
durwatuli	temporary; temporarily			
duryan	durian	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Durian_in_black.jpg/960px-Durian_in_black.jpg	https://en.wikipedia.org/wiki/File:Durian_in_black.jpg	
duxe	shower; shower	https://upload.wikimedia.org/wikipedia/commons/3/3e/Dusche-cut-w025-h025.jpg	https://en.wikipedia.org/wiki/File:Dusche-cut-w025-h025.jpg	
duzuka	ladybug, _Coccinellidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Ladybird.jpg/960px-Ladybird.jpg	https://species.wikimedia.org/wiki/File:Ladybird.jpg	
dwan	tip, point, end, apex			
dwarfu	dwarf (_mythology_)	https://upload.wikimedia.org/wikipedia/commons/4/48/Two_V%C3%B6lusp%C3%A1_Dwarves_by_Fr%C3%B8lich.jpg	https://en.wikipedia.org/wiki/File:Two_V%C3%B6lusp%C3%A1_Dwarves_by_Fr%C3%B8lich.jpg	
dwarfuplaneta	dwarf planet	https://upload.wikimedia.org/wikipedia/commons/a/a6/Pluto_and_charon_near_true_color.png	https://en.wikipedia.org/wiki/File:Pluto_and_charon_near_true_color.png	
dwer	door, gate	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Houten_deur_van_een_woonhuis_in_Guarda._20-09-2019._%28actm.%29.jpg/960px-Houten_deur_van_een_woonhuis_in_Guarda._20-09-2019._%28actm.%29.jpg	https://commons.wikimedia.org/wiki/File:Houten_deur_van_een_woonhuis_in_Guarda._20-09-2019._(actm.).jpg	
dwerfarxu	doormat			
dwerhantatul	doorknob	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pre-war_door_handle_in_Szczecin%2C_2022_%282%29.jpg/500px-Pre-war_door_handle_in_Szczecin%2C_2022_%282%29.jpg	https://commons.wikimedia.org/wiki/File:Pre-war_door_handle_in_Szczecin,_2022_(2).jpg	
dyabetes	diabetes			
dyabol	devil	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Devils-from-Rila-monastery.jpg/500px-Devils-from-Rila-monastery.jpg	https://commons.wikimedia.org/wiki/File:Devils-from-Rila-monastery.jpg	
dyabolli	diabolical; diabolically			
dyabolsim	diabolic, diabolical, devilish; diabolically			
dyer	late; late			
dyerya	lateness, tardiness			
dyeta	diet; (follow a) diet			
dyetalogiyen	dietitian			
dyex	plate, dish	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/French_Dishes%2C_Yamazaki_Spring_Festival_of_Bread.jpg/960px-French_Dishes%2C_Yamazaki_Spring_Festival_of_Bread.jpg	https://commons.wikimedia.org/wiki/File:French_Dishes,_Yamazaki_Spring_Festival_of_Bread.jpg	
dyexmaxina	dishwasher	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/KitchenAid_home_dishwasher_-_Open.jpg/500px-KitchenAid_home_dishwasher_-_Open.jpg	https://commons.wikimedia.org/wiki/File:KitchenAid_home_dishwasher_-_Open.jpg	
dyodo	diode	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Diode-closeup.jpg/960px-Diode-closeup.jpg	https://en.wikipedia.org/wiki/File:Diode-closeup.jpg	
Dyonisi	Dionysius, Dennis, Denise			
dyorita	diorite	https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Diorite2.tif/lossy-page1-800px-Diorite2.tif.jpg	https://en.wikipedia.org/wiki/File:Diorite2.tif	
dyuca	investigation; investigate			
dyucado	investigated			
dyucayen	investigator, detective			
e	hmm, uh, um, huh			
ebanus	ebony, _Diospyrus_			
ebatal	cancellation, annulment, nullification; cancel, annul, nullify			
Ebrahem	Abraham			
Edwardo	Edward			
efelidi	freckle	https://upload.wikimedia.org/wikipedia/commons/e/ea/Vesnuschki.jpg	https://commons.wikimedia.org/wiki/File:Vesnuschki.jpg	
Efeso	Ephesus			
efeto	effect, impact; affect			
efetobon	effective; effectively			
efetogi	; execute, put into effect			
efisyen	efficient; efficiently			
egal	equal, even; equally, evenly			
egaljacipul	equivalent; equivalently			
egalwazen	balance, equilibrium; balance			
egalya	equality			
egalyali	egalitarian			
egalyayen	egalitarian			
Egeo	Aegeus, Aegean			
eger	if			
eger no	if not, otherwise			
eger si	if so			
egnu	gnu, wildebeast, _Connochaetes_			
ehtiram	respect; respect			
ehtiramdo	respected			
ehtiramfil	respectful; respectfully			
ejakula	ejaculation; ejaculate			
ejakulaxey	semen, ejaculate			
ekidna	echidna, _Tachyglossidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Tachyglossus_aculeatus_side_on.jpg/960px-Tachyglossus_aculeatus_side_on.jpg	https://species.wikimedia.org/wiki/File:Tachyglossus_aculeatus_side_on.jpg	
eko-	eco-			
ekologi	ecology			
ekonomi	economy			
ekonomili	economic; economically			
ekonomilogi	economics			
ekonomilogiyen	economist			
ekosistema	ecosystem			
ekrin	screen (_TV, phone_)			
eksame	exam, test; test			
Ekwador	Ecuador	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/ECU_orthographic.svg/550px-ECU_orthographic.svg.png	https://en.wikipedia.org/wiki/File:ECU_orthographic.svg	
Ekwadorli	Ecuadorian			
Ekwadoryen	Ecuadorian			
ekwatora	equator			
Ekwatoragine	Equatorial Guinea	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GNQ_orthographic.svg/600px-GNQ_orthographic.svg.png	https://en.wikipedia.org/wiki/File:GNQ_orthographic.svg	
ekwatorali	equatorial; equatorially			
el	direct object marker (_restricted use_)			
elasti	elastic; elastically			
elastibendu	elastic			
elastiya	elasticity			
elefan	elephant, _Elephantidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Elephant_Kruger_2003.jpg/960px-Elephant_Kruger_2003.jpg	https://species.wikimedia.org/wiki/File:Elephant_Kruger_2003.jpg	
eleki	cardamom, elaichi			
eletri	electricity; electrify	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/London_MMB_%C2%BB1E6_Lightning.jpg/960px-London_MMB_%C2%BB1E6_Lightning.jpg	https://en.wikipedia.org/wiki/File:London_MMB_%C2%BB1E6_Lightning.jpg	
eletrigitara	electric guitar	https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gibson_Les_Paul_54_Custom.jpg/250px-Gibson_Les_Paul_54_Custom.jpg	https://en.wikipedia.org/wiki/File:Gibson_Les_Paul_54_Custom.jpg	
eletrikaxa	battery			
eletrili	electric, electrical; electrically			
eletrixoku	(electric) shock, electrocution (_not necessarily fatal_); shock, taze, zap, electrify, electrocute			
eletron	electron	https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Atomic-orbital-clouds_spd_m0.png/960px-Atomic-orbital-clouds_spd_m0.png	https://en.wikipedia.org/wiki/File:Atomic-orbital-clouds_spd_m0.png	
eletroni	electronic; electronically			
eletroniya	electronics			
elfu	elf	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Elf_Practicing_with_Longsword_in_Forest.png/960px-Elf_Practicing_with_Longsword_in_Forest.png	https://commons.wikimedia.org/wiki/File:Elf_Practicing_with_Longsword_in_Forest.png	
elfuli	elvish, elven			
elfusim	elfish, elfin			
Elia	Elijah, Elea			
Elini	Greece	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/EU-Greece_%28orthographic_projection%29.svg/960px-EU-Greece_%28orthographic_projection%29.svg.png	https://en.wikipedia.org/wiki/File:EU-Greece_(orthographic_projection).svg	
Elinili	Greek			
Elinisa	Greek (language)	https://upload.wikimedia.org/wikipedia/commons/7/7f/Pater_noster_in_greek_script.svg	https://commons.wikimedia.org/wiki/File:Pater_noster_in_greek_script.svg	
Eliniyen	Greek			
elipse	ellipse	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Ellipse-conic.svg/432px-Ellipse-conic.svg.png	https://en.wikipedia.org/wiki/File:Ellipse-conic.svg	
elipseli	elliptical; elliptically			
Elisabet	Elizabeth			
elite	elite			
eliteli	elite			
em	hmm, uh, um			
Emanwel	Emanuel			
emblema	emblem			
emoji	emoji	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Popular_Emoji_Groups_Noto_Color_Emoji.svg/960px-Popular_Emoji_Groups_Noto_Color_Emoji.svg.png	https://en.wikipedia.org/wiki/File:Popular_Emoji_Groups_Noto_Color_Emoji.svg	
empati	empathy			
emu	emu, _Dromaius_	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Dromaius_novaehollandiae%2C_Port_Campbell_National_Park_1.jpg/960px-Dromaius_novaehollandiae%2C_Port_Campbell_National_Park_1.jpg	https://species.wikimedia.org/wiki/File:Dromaius_novaehollandiae	
emula	emulation; emulate			
enciklopedi	encyclopedia			
enciklopedili	encyclopedic; encyclopedically			
encilada	enchilada	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Enchilada_Rice_Beans.jpg/960px-Enchilada_Rice_Beans.jpg	https://en.wikipedia.org/wiki/File:Enchilada_Rice_Beans.jpg	
energi	energy; energize			
energipul	energetic; energetically			
enfasis	emphasis, stress, accent (_phonology_); emphasize, stress			
enfasisdo	emphasized			
enfasispul	emphatic; emphatically			
enfeksi	infection; infect, get infected			
enfeksido	infected			
Engli	England	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/England_in_the_UK_and_Europe.svg/960px-England_in_the_UK_and_Europe.svg.png	https://en.wikipedia.org/wiki/File:England_in_the_UK_and_Europe.svg	
englikorno	English horn			
Englili	English			
Englisa	English (language)			
Engliyen	Englishman, Englishwoman			
engyan	nutrition, nourishment; nourish			
engyankal	nonnutritious, unhealthy (_of no nutritional value_)			
engyanpul	nutritious; nutritiously			
enketa	survey, questionnaire, inquiry; survey, inquire			
ente	(inanimate) agent			
entona	intonation, inflection; intone, inflect			
enzima	enzyme			
epiko	epic (poem)	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/British_Museum_Flood_Tablet.jpg/960px-British_Museum_Flood_Tablet.jpg	https://en.wikipedia.org/wiki/File:British_Museum_Flood_Tablet.jpg	
epikopul	epic; epically			
epilepsi	epilepsy			
epilepsili	epileptic			
erbyum	erbium, Er	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Erbium_%2868_Er%29.jpg/960px-Erbium_%2868_Er%29.jpg	https://en.wikipedia.org/wiki/File:Erbium_(68_Er).jpg	
ergo	work, labor, job; work			
ergodom	workplace, place of work			
ergofil	diligent, hard-working; diligently			
ergofilyen	workaholic, hard worker			
ergogi	cause (somebody) to work, put (somebody) to work, make (somebody) work			
ergokal	unemployed			
ergokalya	unemployment			
ergomon	task			
ergosafta	workweek, legal weekdays			
ergosaftadin	weekday			
ergotim	staff, personnel, crew			
ergouncutim	union, labor union, trade union			
ergoxey	job, employment, occupation			
ergoyen	worker, employee			
eringa	herring	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Clupea_harengus_Gervais.flipped.jpg/960px-Clupea_harengus_Gervais.flipped.jpg	https://commons.wikimedia.org/wiki/File:Clupea_harengus_Gervais.flipped.jpg	
Eritra	Eritrea	https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Eritrea_%28Africa_orthographic_projection%29.svg/600px-Eritrea_%28Africa_orthographic_projection%29.svg.png	https://en.wikipedia.org/wiki/File:Eritrea_(Africa_orthographic_projection).svg	
ermino	ermine, stoat			
Esaya	Isaiah			
esey	essay			
esfer	sphere	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Sphere_wireframe_10deg_6r.svg/600px-Sphere_wireframe_10deg_6r.svg.png	https://en.wikipedia.org/wiki/File:Sphere_wireframe_10deg_6r.svg	
esferli	spherical			
esfinter	sphincter			
esfinxe	spynx, Sphinx			
eskan	(digital) scan; scan			
eskandal	scandal; make a scandal			
eskandalpul	scandalous; scandalously			
eskandyum	scandium, Sc	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Scandium_sublimed_dendritic_and_1cm3_cube.jpg/960px-Scandium_sublimed_dendritic_and_1cm3_cube.jpg	https://en.wikipedia.org/wiki/File:Scandium_sublimed_dendritic_and_1cm3_cube.jpg	
eskantora	scanner			
eskarabe	scarab, _Scarabaeidae_	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Scybalocanthon_korasakiae_Holotype.png/960px-Scybalocanthon_korasakiae_Holotype.png	https://species.wikimedia.org/wiki/File:Scybalocanthon_korasakiae_Holotype.png	
eskaso	scarce; barely, scarcely, hardly			
eskasoya	shortage, scarcity, lack			
eskela	scale (_range of values_)			
eskeleto	skeleton	https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Horse_and_Man.jpg/500px-Horse_and_Man.jpg	https://en.wikipedia.org/wiki/File:Horse_and_Man.jpg	
eskeyti	skating; skate			
eskeytitahta	skateboard			
eskeytiyen	skater			
eski	skiing; ski	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Skateboarder_in_the_air.jpg/500px-Skateboarder_in_the_air.jpg	https://en.wikipedia.org/wiki/File:Skateboarder_in_the_air.jpg	
eskirti	skirt	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Skirt.jpg/500px-Skirt.jpg	https://en.wikipedia.org/wiki/File:Skirt.jpg	
eskiyen	skier	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ski_Famille_-_Family_Ski_Holidays.jpg/960px-Ski_Famille_-_Family_Ski_Holidays.jpg	https://en.wikipedia.org/wiki/File:Ski_Famille_-_Family_Ski_Holidays.jpg	
eskizofreni	schizophrenia			
eskizofrenili	schizophrenic; schizophrenically	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ski_Famille_-_Family_Ski_Holidays.jpg/960px-Ski_Famille_-_Family_Ski_Holidays.jpg	https://en.wikipedia.org/wiki/File:Ski_Famille_-_Family_Ski_Holidays.jpg	
eskizofreniyen	schizophrenic (person)			
eskol	school; school, educate			
eskoldo	educated, scholarly, erudite, learned			
